idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
hektor-moebel-immo-329;pr;m;v;0;130;650.0;6;336000;;;0;0;0;1;0;;47.59699;7.36847;Oui;2.0;;2.0;True;Sud-Ouest;;1890.0;1.0;;;;;;;;Fioul;;;a;n;22.0;m;2023-01;68158;0000;681580000;Z;Z;6815800;68000;44;68;;;;;;;2584.62
immo-facile-51765105;pr;m;v;0;135;954.0;5;440000;;;0;0;0;0;D;217;47.6723;7.36246;Oui;;;;;0;C;;;;;;;;;;;;;a;n;64.0;m;2023-01;68323;0000;683230000;Z;Z;6832300;68000;44;68;7.81;3.0;0.029;7.81;3.0;0.029;3259.26
immo-facile-51680766;pr;m;v;0;167;1135.0;8;323900;;;0;0;1;1;C;178;48.15476;7.16645;Oui;2.0;;;True;Ouest;A;1968.0;2.0;1.0;;;;;;;;Radiateur;Individuel;a;n;8.0;m;2023-01;68175;0000;681750000;Z;Z;6817500;68000;44;68;;;;;;;1939.52
immo-facile-51680921;pr;m;v;0;150;593.0;7;344900;;;0;0;1;1;C;128;48.1484;7.16754;Oui;2.0;;;True;Nord-Sud;A;1977.0;2.0;1.0;;;;;;;;Radiateur;Individuel;a;n;14.0;m;2023-01;68175;0000;681750000;Z;Z;6817500;68000;44;68;;;;;;;2299.33
immo-facile-51680955;pr;m;v;0;160;1300.0;7;475000;;;0;0;0;1;VI;;48.15332;7.17024;Non;;;;;0;VI;2021.0;1.0;3.0;;False;;;;;Électrique;;Individuel;a;n;14.0;m;2023-01;68175;0000;681750000;Z;Z;6817500;68000;44;68;;;;;;;2968.75
immo-facile-51613148;pr;m;v;0;97;1663.0;5;259000;;;0;0;0;1;VI;;48.15332;7.17024;Non;;;;;0;VI;2020.0;1.0;1.0;;;;;;;Électrique;;Individuel;a;n;10.0;m;2023-01;68175;0000;681750000;Z;Z;6817500;68000;44;68;;;;;;;2670.1
ag681106-373033099;pr;a;v;3;63;;3;149000;;;0;0;0;1;NS;;48.07518;7.28886;Oui;3.0;;;False;Sud;;;1.0;;;;;False;;;;;;a;n;78.0;a;2023-01;68374;0102;683740102;H;H;6837401;68501;44;68;9.13;7.0;0.046;10.67;21.0;0.054;2365.08
entities-1044599-2740095;pr;m;v;0;80;184.0;4;315000;;;0;0;0;0;A;;48.0729;7.29032;0;;;;;0;;;;;;;;;;;;;;cm;o;50.0;m;2023-01;68374;0102;683740102;H;H;6837401;68501;44;68;10.36;3.0;0.032;10.36;3.0;0.032;3937.5
entities-1044599-2740091;pr;m;v;0;100;184.0;4;315000;;;0;0;0;0;A;;48.0729;7.29032;0;;;;;0;;;;;;;;;;;;;;cm;o;36.0;m;2023-01;68374;0102;683740102;H;H;6837401;68501;44;68;10.36;3.0;0.039;10.36;3.0;0.039;3150.0
safti-1-771658;pr;a;v;0;98;;5;135000;;;0;0;0;0;E;284;47.89403;6.98349;Oui;;;;False;0;E;1930.0;;;;False;;False;9.0;;;;;m;n;70.0;a;2023-01;68089;0000;680890000;Z;Z;6808900;68301;44;68;;;;;;;1377.55
safti-1-777882;pr;m;vp;0;406;1500.0;15;340000;;;0;0;0;2;NS;;47.89012;6.99583;Oui;;;;True;0;NS;1900.0;;;;False;;;;;Gaz;;Individuel;m;n;77.0;m;2023-01;68089;0000;680890000;Z;Z;6808900;68301;44;68;;;;;;;837.44
mgc-373778705-CWE-230125-102049;pr;m;v;0;85;;5;281000;;;0;0;0;0;A;;48.08719;7.48681;0;;;;;0;A;;;;;;;;;;;;;cm;o;29.0;m;2023-01;68345;0000;683450000;Z;Z;6834500;68000;44;68;;;;;;;3305.88
mgc-373780004-CWE-230125-103517;pr;m;v;0;72;;3;271000;;;0;0;0;0;A;;48.08719;7.48681;0;;;;;0;A;;;;;;;;;;;;;cm;o;29.0;m;2023-01;68345;0000;683450000;Z;Z;6834500;68000;44;68;;;;;;;3763.89
mgc-373786517-CWE-230125-112926;pr;m;v;0;100;;5;329000;;;0;0;0;0;A;;48.08719;7.48681;0;;;;;0;A;;;;;;;;;;;;;cm;o;29.0;m;2023-01;68345;0000;683450000;Z;Z;6834500;68000;44;68;;;;;;;3290.0
immo-facile-51609661;pr;m;v;0;300;1846.0;9;255000;;;0;0;0;2;C;123;47.89817;6.98544;Oui;;;;True;0;A;;;;;;;;;;;Radiateur;Individuel;a;n;64.0;m;2023-01;68089;0000;680890000;Z;Z;6808900;68301;44;68;;;;;;;850.0
adapt-immo-6700710872;pr;m;v;0;200;1984.0;8;526000;;;0;0;0;2;0;;48.10987;7.19421;Oui;2.0;;;True;0;;1972.0;2.0;;;;;;;;Fioul;;;m;n;28.0;m;2023-01;68173;0000;681730000;Z;Z;6817300;68102;44;68;;;;;;;2630.0
apimo-8050001;pr;a;v;1;68;;4;89900;;;0;0;0;0;G;475;48.11025;7.20762;Oui;;;;;0;C;;;;;;;;;;Électrique;Radiateur;Individuel;a;n;92.0;a;2023-01;68173;0000;681730000;Z;Z;6817300;68102;44;68;;;;;;;1322.06
ag680967-373556089;pr;a;v;0;49;;3;59950;;;0;0;1;0;0;;48.10682;7.20135;Oui;;;;;0;;;;;;;;;;;;;Individuel;a;n;43.0;a;2023-01;68173;0000;681730000;Z;Z;6817300;68102;44;68;8.73;1.0;0.086;8.73;1.0;0.086;1223.47
apimo-8092064;pr;a;v;2;51;;3;110000;;;0;1;0;0;E;317;48.1029;7.20843;0;4.0;;;;0;B;;;;;;5.0;;12.0;1680.0;Électrique;Convecteur;Individuel;a;n;43.0;a;2023-01;68173;0000;681730000;Z;Z;6817300;68102;44;68;8.73;1.0;0.049;8.73;1.0;0.049;2156.86
ag671474-373068385;pr;m;v;0;144;1480.0;7;365000;;;0;0;1;1;D;179;47.62885;7.05901;Oui;;;;True;0;E;;2.0;;;;;;;;Fioul;;;a;n;36.0;m;2023-01;68192;0000;681920000;Z;Z;6819200;68000;44;68;;;;;;;2534.72
guy-hoquet-immo-facile-5970749;pr;m;v;0;310;327.0;10;216157;;;0;0;0;0;E;306;48.27131;7.28125;Non;3.0;;;True;Nord-Sud;VI;;;;;;;;;;Fioul;Radiateur;Collectif;a;n;77.0;m;2023-01;68185;0000;681850000;Z;Z;6818500;68106;44;68;;;;;;;697.28
ag681158-367735735;pr;m;v;0;131;336.0;5;175000;;;0;0;0;1;D;199;47.78759;7.3343;Non;;;2.0;;0;D;;1.0;;;;;;;;;;;a;n;32.0;m;2022-12;68166;0103;681660103;H;H;6816601;68701;44;68;9.57;2.0;0.086;11.04;4.0;0.099;1335.88
ag681391-369998242;pr;m;v;0;138;1000.0;7;657000;;;0;0;0;2;C;153;47.57953;7.55155;Oui;;;;True;0;A;;2.0;;;;;;;;Électrique;;Individuel;a;n;99.0;m;2022-12;68297;0101;682970101;H;H;6829701;68403;44;68;;;;9.2;3.0;0.023;4760.87
ag681391-370713130;pr;a;v;3;70;;3;170000;;;0;1;0;1;D;222;47.56925;7.55919;Oui;4.0;;;True;Nord-Est;B;;1.0;;;;;;70.0;1200.0;Gaz;;;a;n;7.0;a;2022-12;68297;0101;682970101;H;H;6829701;68403;44;68;12.96;17.0;0.064;12.32;405.0;0.061;2428.57
immo-facile-50508332;pr;a;v;4;53;;2;132000;;;0;1;0;1;C;;47.7482;7.35892;Oui;4.0;;;;0;B;1970.0;1.0;;;;;True;70.0;1200.0;Électrique;;Individuel;m;n;127.0;a;2022-12;68271;0103;682710103;H;H;6827101;68701;44;68;12.32;18.0;0.059;12.14;70.0;0.059;2490.57
ag060811-368561137;pr;a;v;3;36;;2;94170;;;0;0;1;0;D;215;47.7462;7.36515;Oui;4.0;;0.0;;0;B;;1.0;;;;;True;65.0;789.96;Électrique;;;m;n;44.0;a;2022-12;68271;0103;682710103;H;H;6827101;68701;44;68;12.32;18.0;0.056;12.14;70.0;0.056;2615.83
immo-facile-51527153;pr;m;v;0;120;900.0;8;370000;;;0;0;0;0;E;268;47.74668;7.36164;Non;;;;;0;D;;;;;;;;;;;;;a;n;113.0;m;2022-12;68271;0103;682710103;H;H;6827101;68701;44;68;;;;;;;3083.33
immo-facile-51396004;pr;m;v;0;210;310.0;8;477000;;;0;0;0;0;E;221;47.74483;7.35716;Oui;;;;;0;E;;;;;;;;;;;;;a;n;8.0;m;2022-12;68271;0103;682710103;H;H;6827101;68701;44;68;;;;;;;2271.43
safti-1-782664;pr;a;v;0;72;;4;85000;;;0;1;0;1;E;316;47.75004;7.36182;Oui;4.0;;1.0;True;0;E;1962.0;;;;False;;False;20.0;2648.0;Gaz;;;m;n;127.0;a;2022-12;68271;0104;682710104;H;H;6827101;68701;44;68;10.58;16.0;0.107;10.51;43.0;0.107;1180.56
orpi-1-054927E2G70L;pr;m;v;0;85;457.0;5;265995;;;0;0;0;1;E;276;47.75555;7.36756;Non;1.0;;;True;0;E;1969.0;1.0;1.0;;False;;;;;;Radiateur;Individuel;a;n;37.0;m;2022-12;68271;0104;682710104;H;H;6827101;68701;44;68;8.33;1.0;0.032;10.87;9.0;0.042;3129.35
iad-france-1263414;pr;a;v;2;54;;2;117000;;;0;1;0;0;D;215;47.74597;7.37688;Non;6.0;;1.0;True;0;D;1968.0;;;;False;;True;93.0;1944.0;Gaz;Radiateur;Collectif;m;n;57.0;a;2022-12;68271;0102;682710102;H;H;6827101;68701;44;68;11.36;7.0;0.063;12.14;70.0;0.067;2166.67
ag681119-370241887;pr;a;v;2;73;;3;147000;;;0;1;1;0;D;161;47.74935;7.3738;Non;2.0;;2.0;True;Sud;E;;1.0;;;;;False;32.0;1540.0;Gaz;;Individuel;a;n;15.0;a;2022-12;68271;0102;682710102;H;H;6827101;68701;44;68;11.18;6.0;0.067;11.07;74.0;0.066;2013.7
immo-facile-51408044;pr;m;vp;0;183;1314.0;6;395000;;;0;0;0;1;E;251;47.73486;7.3675;Non;3.0;;;True;0;F;1952.0;2.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;15.0;m;2022-12;68271;0101;682710101;H;H;6827101;68701;44;68;11.66;2.0;0.065;11.21;4.0;0.062;2158.47
guy-hoquet-immo-facile-6078932;pr;a;v;0;70;124.0;3;232000;;;0;0;1;0;VI;;47.73969;7.3717;Oui;2.0;;;;0;VI;2015.0;1.0;1.0;;;;True;26.0;2357.0;Gaz;;Collectif;a;n;22.0;a;2022-12;68271;0101;682710101;H;H;6827101;68701;44;68;10.86;16.0;0.039;11.07;74.0;0.04;3314.29
hektor-cpdelta-184;pr;a;v;1;46;;2;76000;;;0;0;0;1;0;;47.74227;7.36059;Non;;;;True;0;;1970.0;1.0;;;;;True;221.0;1965.0;Gaz;;Collectif;a;n;120.0;a;2022-12;68271;0101;682710101;H;H;6827101;68701;44;68;12.37;19.0;0.09;12.14;70.0;0.088;1652.17
guy-hoquet-immo-facile-5971238;pr;a;v;0;65;;3;184900;;;0;1;1;0;E;324;47.59567;7.55932;Oui;5.0;;3.0;True;0;F;;1.0;1.0;;;;False;20.0;1920.0;;;Collectif;a;n;59.0;a;2022-12;68297;0105;682970105;H;H;6829701;68403;44;68;12.38;18.0;0.052;12.32;405.0;0.052;2844.62
hektor-ifeaimmo-624;pr;m;v;0;145;580.0;6;364000;;;0;0;0;1;G;569;47.75529;7.37831;Non;;;2.0;;0;G;1960.0;2.0;;;;;;;;Gaz;;Individuel;a;n;99.0;m;2022-12;68271;0105;682710105;H;H;6827101;68701;44;68;;;;11.21;4.0;0.054;2510.34
hektor-girardi-pfastatt-3282;pr;a;v;1;101;;4;188000;;;0;0;1;0;E;301;47.7548;7.37335;Oui;2.0;;2.0;;Sud;D;1932.0;1.0;1.0;;;;;;;Fioul;Radiateur;Collectif;a;n;29.0;a;2022-12;68271;0105;682710105;H;H;6827101;68701;44;68;9.81;2.0;0.063;10.51;43.0;0.068;1861.39
immo-facile-50120895;pr;m;v;0;240;1000.0;8;765900;;;0;0;0;0;C;;47.75264;7.36808;Non;;;;;0;D;;;;;;;;;;;;;a;n;106.0;m;2022-12;68271;0104;682710104;H;H;6827101;68701;44;68;;;;;;;3191.25
hektor-lifeimmo-2012;pr;m;v;0;94;3.71;5;250000;;;0;0;0;1;C;153;47.79636;7.32218;Oui;;;2.0;True;Est-Ouest;A;1993.0;2.0;1.0;;;;;;;;Radiateur;Individuel;a;n;71.0;m;2022-12;68166;0105;681660105;H;H;6816601;68701;44;68;;;;11.04;4.0;0.05;2659.57
nexity-GB00162899;pr;a;v;1;43;;2;149000;;;0;1;0;1;B;65;47.62618;7.52701;Oui;;;1.0;False;Sud-Ouest;C;;1.0;;;False;;False;;1038.31;;;;a;n;;a;2022-12;68297;0103;682970103;H;H;6829701;68403;44;68;13.28;137.0;0.046;14.0;472.0;0.048;3465.12
ag681391-367434145;pr;m;v;0;140;601.0;6;650000;;;0;0;2;3;D;154;47.60862;7.53117;Oui;2.0;;4.0;True;Sud;A;;2.0;;;;;;;;;;Individuel;a;n;15.0;m;2022-12;68297;0103;682970103;H;H;6829701;68403;44;68;11.09;2.0;0.029;11.09;2.0;0.029;4642.86
nexity-GB00160445;pr;a;v;2;38;;1;108640;;;0;0;0;1;D;195;47.79234;7.33337;Oui;;;1.0;False;0;D;;1.0;;;False;;True;70.0;;;;;a;n;15.0;a;2022-12;68166;0104;681660104;H;H;6816601;68701;44;68;;;;13.78;12.0;0.058;2858.95
ag681120-369617155;pr;a;v;0;89;;4;315000;;;0;0;0;1;B;75;47.65633;7.4566;Non;;;;;0;C;;;;;;;;;;;;;a;n;22.0;a;2022-12;68309;0000;683090000;Z;Z;6830900;68115;44;68;11.67;23.0;0.04;11.67;23.0;0.04;3539.33
ag681141-369298300;pr;a;v;0;102;;5;474000;;;0;0;0;0;NS;;48.08782;7.27801;Non;;;;;0;;;;;;;;;;;;;;a;n;18.0;a;2022-12;68338;0000;683380000;Z;Z;6833800;68501;44;68;;;;;;;4647.06
snpi-5317552;pr;m;v;0;139;239.0;6;310000;;;0;0;1;0;E;312;48.08782;7.27801;Oui;1.0;;;True;0;B;1950.0;1.0;;;False;;;;;;;;a;n;9.0;m;2022-12;68338;0000;683380000;Z;Z;6833800;68501;44;68;;;;;;;2230.22
ag681237-369629773;pr;a;v;0;46;;2;179900;;;0;0;0;1;D;;48.08566;7.28138;Non;;;1.0;;0;B;;;;;;;False;;;;;;a;n;85.0;a;2022-12;68338;0000;683380000;Z;Z;6833800;68501;44;68;11.43;14.0;0.035;11.43;14.0;0.035;3910.87
immo-facile-51351485;pr;a;v;3;98;;4;325000;;;0;0;0;0;D;222;48.08731;7.28069;Oui;3.0;;;;0;B;;;;;;;;40.0;795.0;;;;a;n;22.0;a;2022-12;68338;0000;683380000;Z;Z;6833800;68501;44;68;9.42;3.0;0.034;9.42;3.0;0.034;3316.33
iad-france-1256226;pr;m;v;0;120;474.0;4;489000;;;0;0;0;0;B;75;48.08171;7.28646;Oui;;;;False;0;B;;;;;False;;;;;Gaz;;;m;n;66.0;m;2022-12;68338;0000;683380000;Z;Z;6833800;68501;44;68;12.63;1.0;0.037;12.63;1.0;0.037;4075.0
ag681391-370891558;pr;m;v;0;186;437.0;8;392000;;;0;1;0;2;C;141;47.66242;7.4691;Oui;2.0;;2.0;;0;D;;2.0;;;;;;;;Gaz;;Individuel;a;n;22.0;m;2022-12;68309;0000;683090000;Z;Z;6830900;68115;44;68;;;;;;;2107.53
guy-hoquet-immo-facile-6078707;pr;m;v;0;124;326.0;7;340000;;;0;0;1;1;A;;47.654;7.45683;Oui;1.0;;1.0;;0;VI;1955.0;2.0;;;;;;;;;Radiateur;Individuel;a;n;9.0;m;2022-12;68309;0000;683090000;Z;Z;6830900;68115;44;68;;;;;;;2741.94
ag681332-369146854;pr;a;v;0;79;;4;244000;;;0;0;1;0;C;151;47.65633;7.4566;Non;;;2.0;;0;C;;2.0;;;;;;24.0;321.0;Gaz;;Individuel;a;n;9.0;a;2022-12;68309;0000;683090000;Z;Z;6830900;68115;44;68;11.67;23.0;0.045;11.67;23.0;0.045;3088.61
nexity-GB00162311;pr;a;v;3;78;;4;275000;;;0;1;0;1;C;119;47.65321;7.45784;Oui;;;2.0;True;Sud-Ouest;C;;;;;False;;False;;1407.46;;;;a;n;99.0;a;2022-12;68309;0000;683090000;Z;Z;6830900;68115;44;68;11.67;23.0;0.04;11.67;23.0;0.04;3525.64
ag681158-368235487;pr;a;v;0;107;;4;347000;;;0;0;0;1;C;106;47.65373;7.46744;Non;;;1.0;;0;C;;;;;;;True;;;;;;a;n;36.0;a;2022-12;68309;0000;683090000;Z;Z;6830900;68115;44;68;11.67;23.0;0.043;11.67;23.0;0.043;3242.99
nexity-GB00162031;pr;a;v;0;17;;1;52500;;;0;1;0;0;E;291;47.57826;7.57188;Oui;;;;False;Sud;B;;;;;False;;False;;238.48;;;;a;n;8.0;a;2022-12;68297;0107;682970107;H;H;6829701;68403;44;68;17.14;7.0;0.067;17.95;219.0;0.07;3088.24
hektor-girardi-pfastatt-3068;pr;m;v;0;120;876.0;5;392000;;;0;0;1;1;C;110;47.77731;7.32164;Non;;;;;Sud;C;1963.0;1.0;2.0;;;;;;;Gaz;Radiateur;Individuel;a;n;44.0;m;2022-12;68166;0102;681660102;H;H;6816601;68701;44;68;;;;11.04;4.0;0.041;3266.67
hektor-lifeimmo-2015;pr;a;v;0;79;;4;97000;;;0;0;0;1;0;;47.77822;7.32448;Oui;5.0;;;True;0;;1971.0;1.0;;;;;True;152.0;2304.78;Gaz;Radiateur;Collectif;a;n;85.0;a;2022-12;68166;0102;681660102;H;H;6816601;68701;44;68;9.26;8.0;0.091;10.12;22.0;0.099;1227.85
immo-facile-51519129;pr;a;v;3;74;;4;209000;;;0;1;0;1;F;311;47.58075;7.56122;Non;3.0;;1.0;True;0;F;1974.0;1.0;;;;;False;;;Fioul;Radiateur;Collectif;a;n;127.0;a;2022-12;68297;0106;682970106;H;H;6829701;68403;44;68;10.6;3.0;0.045;11.66;76.0;0.05;2824.32
immo-facile-51426615;pr;a;v;0;55;;3;125000;;;0;0;1;0;D;172;47.58124;7.55852;Oui;3.0;;;True;0;D;1900.0;1.0;;;;;False;28.0;759.0;Gaz;Radiateur;Individuel;a;n;63.0;a;2022-12;68297;0106;682970106;H;H;6829701;68403;44;68;11.82;12.0;0.062;12.32;405.0;0.065;2272.73
ag681108-370262176;pr;a;v;0;71;;4;190000;;;0;1;1;0;C;146;47.58679;7.55635;Non;;;;;0;B;;1.0;;;;;;40.0;2000.0;Fioul;;Collectif;a;n;24.0;a;2022-12;68297;0106;682970106;H;H;6829701;68403;44;68;10.6;3.0;0.048;11.66;76.0;0.052;2676.06
ag681108-369146671;pr;a;v;3;75;;4;209000;;;0;1;0;1;F;311;47.58827;7.55274;Non;3.0;;1.0;True;0;F;;1.0;;;;;;32.0;;Gaz;;Collectif;a;n;31.0;a;2022-12;68297;0106;682970106;H;H;6829701;68403;44;68;10.6;3.0;0.046;11.66;76.0;0.05;2786.67
immo-facile-51437984;pr;m;v;0;215;727.0;6;647000;;;0;1;0;1;C;119;47.5997;7.55239;Non;1.0;;6.0;True;0;C;2002.0;2.0;;;False;;;;;Gaz;;Individuel;a;n;77.0;m;2022-12;68297;0108;682970108;H;H;6829701;68403;44;68;;;;11.09;2.0;0.044;3009.3
hektor-1318_EXPERTIMO22-119136;pr;a;v;0;66;;3;287000;;;0;0;0;0;E;279;47.57774;7.56512;Non;;;;;0;F;1973.0;;;;;;False;15.0;2618.74;Gaz;Radiateur;Collectif;m;n;32.0;a;2022-12;68297;0106;682970106;H;H;6829701;68403;44;68;11.82;12.0;0.033;12.32;405.0;0.034;4348.48
ag681332-368122231;pr;m;v;0;115;1000.0;5;458000;;;0;0;0;1;D;203;47.58605;7.56158;Oui;2.0;;4.0;True;0;D;;1.0;;;;;;;;Gaz;;Individuel;a;n;45.0;m;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;13.63;4.0;0.041;13.3;14.0;0.04;3982.61
guy-hoquet-immo-facile-6007628;pr;m;v;0;101;296.0;4;359000;;;0;0;0;1;VI;;47.78558;7.33719;Non;1.0;;2.0;True;0;VI;2023.0;1.0;1.0;;;;;;;;;;a;o;8.0;m;2022-12;68166;0106;681660106;H;H;6816601;68701;44;68;;;;11.72;5.0;0.04;3554.46
ag681158-369564025;pr;a;v;0;42;;2;134900;;;0;0;0;1;C;103;47.79139;7.3423;Non;;;1.0;;0;C;;;;;;;True;;;;;;a;n;52.0;a;2022-12;68166;0106;681660106;H;H;6816601;68701;44;68;12.94;4.0;0.048;12.65;43.0;0.047;3211.9
safti-1-783631;pr;a;v;0;45;;2;94900;;;0;0;0;0;NS;;47.79324;7.33658;Oui;;;;False;0;NS;1970.0;;;;False;;False;34.0;1800.0;;;;m;n;64.0;a;2022-12;68166;0106;681660106;H;H;6816601;68701;44;68;12.94;4.0;0.074;12.65;43.0;0.072;2108.89
ag681158-370340974;pr;a;v;0;80;;4;230000;;;0;0;0;1;C;100;47.79239;7.33964;Non;;;2.0;;0;C;;;;;;;True;;;;;;a;n;78.0;a;2022-12;68166;0106;681660106;H;H;6816601;68701;44;68;11.94;8.0;0.05;10.12;22.0;0.042;2875.0
ag671913-367899889;pr;m;v;0;120;495.0;6;325000;;;0;0;1;1;C;135;47.7923;7.33869;Oui;;;;True;0;C;;2.0;;;;;;;;Fioul;;;network;n;32.0;m;2022-12;68166;0106;681660106;H;H;6816601;68701;44;68;;;;10.57;2.0;0.047;2708.33
ag681332-369552415;pr;a;v;5;50;;2;117000;;;0;1;0;1;E;273;47.58605;7.56158;Oui;5.0;;;True;0;C;;1.0;;;;;True;281.0;1422.0;Gaz;;;a;n;31.0;a;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;14.23;212.0;0.073;14.0;472.0;0.072;2340.0
ag681332-369295645;pr;m;v;0;76;497.0;5;255600;;;0;0;0;1;F;415;47.58605;7.56158;Oui;1.0;;2.0;True;0;F;;1.0;;;;;;;;Gaz;;Individuel;a;n;9.0;m;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;13.63;4.0;0.049;13.3;14.0;0.047;3363.16
ag681120-369274753;pr;m;v;0;140;649.0;6;640000;;;0;0;0;0;C;121;47.58605;7.56158;Non;;;;;0;D;;;;;;;;;;;;;a;n;31.0;m;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;;;;11.09;2.0;0.029;4571.43
ag681332-370804354;pr;a;v;0;70;;4;190000;;;0;1;1;0;C;146;47.58605;7.56158;Non;4.0;;;True;0;B;;1.0;;;;;True;40.0;1927.0;Fioul;;Collectif;a;n;16.0;a;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;12.08;38.0;0.053;11.66;76.0;0.052;2714.29
ag681332-369739333;pr;m;v;0;137;600.0;6;577500;;;0;0;0;2;D;144;47.58605;7.56158;Oui;;;3.0;True;0;D;;2.0;;;;;;;;Gaz;;Individuel;a;n;24.0;m;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;;;;11.09;2.0;0.032;4215.33
laforet-immo-facile-21311112;pr;a;v;3;43;;2;139000;;;0;1;0;1;E;266;47.58539;7.56114;Oui;4.0;;;False;0;E;;1.0;;;;;True;119.0;1384.0;Gaz;Radiateur;Individuel;a;n;59.0;a;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;14.23;212.0;0.053;14.0;472.0;0.052;3232.56
ag681120-367587478;pr;m;v;0;121;613.0;6;319000;;;0;0;0;1;E;323;47.58605;7.56158;Non;;;;;0;G;;;;;;;;;;;;;a;n;8.0;m;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;;;;11.09;2.0;0.05;2636.36
hektor-1318_EXPERTIMO22-119079;pr;a;v;0;55;;2;149900;;;0;0;0;1;E;269;47.5834;7.5694;Oui;;;;False;0;E;1992.0;1.0;1.0;;;;True;47.0;1547.64;Gaz;Radiateur;Collectif;m;n;25.0;a;2022-12;68297;0104;682970104;H;H;6829701;68403;44;68;14.23;212.0;0.063;14.0;472.0;0.062;2725.45
entities-1044601-2629602;pr;m;v;0;165;1300.0;5;815620;;;0;0;0;0;A;;48.08113;7.39384;0;;;;;0;;;;;;;;;;;;;;cm;o;7.0;m;2022-12;68145;0102;681450102;H;H;6814501;68501;44;68;9.49;6.0;0.023;9.54;8.0;0.023;4943.15
entities-1044601-2629601;pr;m;v;0;182;1300.0;6;939720;;;0;0;0;0;A;;48.08113;7.39384;0;;;;;0;;;;;;;;;;;;;;cm;o;7.0;m;2022-12;68145;0102;681450102;H;H;6814501;68501;44;68;9.41;5.0;0.022;9.41;5.0;0.022;5163.3
entities-1044601-2629603;pr;m;v;0;187;1300.0;5;890520;;;0;0;0;0;A;;48.08113;7.39384;0;;;;;0;;;;;;;;;;;;;;cm;o;7.0;m;2022-12;68145;0102;681450102;H;H;6814501;68501;44;68;9.49;6.0;0.024;9.54;8.0;0.024;4762.14
snpi-5319843;pr;a;v;0;131;110.0;5;245000;;;0;0;0;1;E;301;48.08058;7.40024;Oui;3.0;;;True;0;E;1950.0;2.0;;;False;;False;;;;;;a;n;24.0;a;2022-12;68145;0102;681450102;H;H;6814501;68501;44;68;8.64;1.0;0.055;9.36;2.0;0.06;1870.23
iad-france-1256398;pr;m;v;0;135;550.0;5;569500;;;0;0;0;0;C;130;48.08177;7.40386;Oui;;;;False;0;C;2012.0;;;;False;;;;;;;;m;n;45.0;m;2022-12;68145;0102;681450102;H;H;6814501;68501;44;68;9.49;6.0;0.027;9.54;8.0;0.027;4218.52
safti-1-769323;pr;m;v;0;200;270.0;12;262500;;;0;0;0;0;VI;;47.7419;7.28809;Non;;;;False;0;VI;1930.0;;;;False;;;;;;;;m;n;15.0;m;2022-12;68224;1001;682241001;H;H;6822401;68701;44;68;;;;;;;1312.5
ag681158-370014079;pr;a;v;0;43;;2;104500;;;0;0;0;1;D;230;47.74547;7.30689;Non;;;;;0;D;;;;;;;True;;;;;;a;n;92.0;a;2022-12;68224;1001;682241001;H;H;6822401;68701;44;68;9.36;6.0;0.046;11.11;960.0;0.055;2430.23
hektor-MAYAIMMO2020-2489;pr;a;v;2;78;;3;262180;;;0;0;1;1;0;;47.75907;7.33289;Non;4.0;;;;0;;2023.0;;1.0;;;;True;10.0;;;Sol;Individuel;a;o;8.0;a;2022-12;68224;1401;682241401;H;H;6822401;68701;44;68;9.25;25.0;0.033;10.0;839.0;0.036;3361.28
iad-france-1258919;pr;a;v;0;78;;4;97000;;;0;1;0;0;D;191;47.75624;7.34349;Oui;4.0;;;True;0;D;1960.0;;;;False;;False;60.0;1200.0;Gaz;Radiateur;Individuel;m;n;71.0;a;2022-12;68224;1401;682241401;H;H;6822401;68701;44;68;9.42;2.0;0.091;9.22;388.0;0.089;1243.59
hektor-MAYAIMMO2020-2487;pr;a;v;0;51;;2;161865;;;0;0;0;1;0;;47.75907;7.33289;Non;4.0;;;False;Nord-Est;;2023.0;1.0;1.0;;;;True;10.0;;;Sol;Individuel;a;o;127.0;a;2022-12;68224;1401;682241401;H;H;6822401;68701;44;68;10.73;31.0;0.041;11.11;960.0;0.042;3173.82
